,precision,recall,f1-score,support
changing,0.5350877192982456,0.1035653650254669,0.17354196301564723,589.0
chevron,0.7928571428571428,0.3881118881118881,0.5211267605633803,286.0
cigar,0.8768328445747801,0.4846029173419773,0.6242171189979123,617.0
circle,0.42094017094017094,0.3453111305872042,0.37939335580163697,2282.0
cone,0.8571428571428571,0.3157894736842105,0.46153846153846156,95.0
cross,0.8125,0.18571428571428572,0.3023255813953488,70.0
cylinder,0.8363636363636363,0.35844155844155845,0.5018181818181818,385.0
diamond,0.8628571428571429,0.42776203966005666,0.571969696969697,353.0
disk,0.5286343612334802,0.5370843989769821,0.532825880114177,1564.0
egg,0.9247311827956989,0.37719298245614036,0.5358255451713395,228.0
fireball,0.7234177215189873,0.6138560687432868,0.664148750726322,1862.0
flash,0.6226415094339622,0.3316582914572864,0.43278688524590164,398.0
formation,0.4666666666666667,0.21845318860244234,0.2975970425138632,737.0
light,0.4590486604702023,0.8446680080482898,0.5948281969535955,4970.0
oval,0.7455516014234875,0.37410714285714286,0.4982164090368609,1120.0
rectangle,0.8587570621468926,0.390745501285347,0.5371024734982333,389.0
sphere,0.6084142394822006,0.46534653465346537,0.5273492286115007,1616.0
teardrop,0.96875,0.27555555555555555,0.4290657439446367,225.0
triangle,0.6940919037199125,0.6720338983050848,0.6828848223896663,2360.0
accuracy,0.5520698898044277,0.5520698898044277,0.5520698898044277,0.5520698898044277
macro avg,0.7155413906802877,0.4057894857635616,0.4878190578055981,20146.0
weighted avg,0.5993521183788659,0.5520698898044277,0.5375556983429944,20146.0
